"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2014","checkLogin","Surefire suite","Sun Aug 03 15:57:29 GMT 2025","passed","Sun Aug 03 15:57:31 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","15704","Checking that the newly created workout appears correctly in the training calendar","Surefire suite","Sun Aug 03 15:57:04 GMT 2025","failed","Sun Aug 03 15:57:19 GMT 2025","tests.AddNewWorkoutModalTest","Surefire test","tests.AddNewWorkoutModalTest","checkAddedWorkoutInCalendar"
"","852","checkLogin","Surefire suite","Sun Aug 03 15:57:27 GMT 2025","passed","Sun Aug 03 15:57:28 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","10194","Create a workout and successfully update it with race-specific information","Surefire suite","Sun Aug 03 15:56:53 GMT 2025","passed","Sun Aug 03 15:57:03 GMT 2025","tests.AddNewWorkoutModalTest","Surefire test","tests.AddNewWorkoutModalTest","checkCreateAndChangeWorkout"
"","1523","Checking registration that the message 'This field is required.' appears when the 'Last Name' field is empty","Surefire suite","Sun Aug 03 15:56:52 GMT 2025","passed","Sun Aug 03 15:56:53 GMT 2025","tests.RegistrationTest","Surefire test","tests.RegistrationTest","checkCreateAccountWithoutLastName"
"","3068","checkLogin","Surefire suite","Sun Aug 03 15:57:24 GMT 2025","passed","Sun Aug 03 15:57:27 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","1107","checkLogin","Surefire suite","Sun Aug 03 15:57:28 GMT 2025","passed","Sun Aug 03 15:57:29 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","14830","Checking registration with valid data on the 'Registration' page","Surefire suite","Sun Aug 03 15:56:37 GMT 2025","passed","Sun Aug 03 15:56:52 GMT 2025","tests.RegistrationTest","Surefire test","tests.RegistrationTest","checkCreateAccount"
"","4585","Verifies that the 'Add New Workout' modal opens correctly after selecting an activity and activity type","Surefire suite","Sun Aug 03 15:57:19 GMT 2025","passed","Sun Aug 03 15:57:24 GMT 2025","tests.AddWorkoutTest","Surefire test","tests.AddWorkoutTest","checkAddWorkout"
